CSC 100
CSC 103
CSC 105
CSC 106
CSC 110,MATH 12
CSC 111,MATH 12
CSC 115,CSC 110,CSC 111
CSC 116,CSC 110,CSC 111
CSC 205,SENG 265,MATH 151,MATH 211
CSC 225,CSC 115,CSC 116,MATH 122
CSC 226,CSC 225
CSC 230,CSC 115,CSC 116
CSC 299,CSC 115,CSC 226,CSC 230,SENG 265
CSC 305,CSC 226,SENG 265,MATH 110,MATH 211
CSC 320,CSC 226
CSC 322,CSC 115,CSC 116,MATH 122,PHIL 203
CSC 330,CSC 226,SENG 265,CSC 230,CENG255,ECE 255,CSC 320,CSC 360
CSC 349A,CSC 110,CSC 111,MATH 110,MATH 211,MATH 200,MATH 201,MATH 202
CSC 350,CSC 225,CSC 230
CSC 355,CSC 230,CENG 255,ECE 255,MATH 122
CSC 360,SENG 265,CSC 230,CENG 255,ECE 255
CSC 361,SENG 265,CSC 230,CENG 255,ECE 255,CSC 226
CSC 370,CSC 226,SENG 265
CSC 371,MATH 100,MATH 102,MATH 120
CSC 375,SENG 265,HINF 130,HINF 140
